origin_id,origin_name,target_id,target_name,expelled_group,year,end_year,lower_bound,mean_estimate,upper_bound,event_type,is_annual_estimate,data_source_id,description,in_unhcr,unhcr_numer,comment,difference_unhcr_mean_estimate
24,Angola,180,DRC,Congolese (Kinshasa),2011,2012,60590,82795,105000,1,,1,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2018,2018,330000,365000,400000,1,,1,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2018,2020,400000,400000,400000,1,,16,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2020,2020,21000,21000,21000,1,,16,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2023,2023,12000,12000,12000,1,,115,expulsion of Congolese refugees and migrant workers,,,,
24,Angola,180,DRC,Congolese,2024,2024,300,300,300,2,,117,deportation of Congolese illegal migrants,,,,
32,Argentina,,various,criminals,2015,2018,12000,12000,12000,2,,18,deportation of criminal migrants,,,,
51,Armenia,31,Azerbaijan,Azerbaijanis,1987,1990,300000,300000,300000,1,,21,,,,,
51,Armenia,31,Azerbaijan,Azerbaijanis,1988,1989,250000,250000,250000,1,,22,,,,,
51,Armenia,31,Azerbaijan,Azerbaijanis,1989,1989,84860,84860,84860,1,,19,,,,,
533,Aruba,170,Colombia,Colombians,2024,2024,5,5,5,2,,119,deportation of Colombians,,,,
36,Australia,184,Cook Islands,Cook Islands Nationals,2009,2020,16,16,16,2,,124,deportation of illegal migrants from the Cook Islands,,,,
36,Australia,776,Tonga,Tongans,2009,2020,40,40,40,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2009,2020,14,14,14,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,162,Christmas Islands,various,2021,2021,103,103,103,2,,110,,,,,
31,Azerbaijan,51,Armenia,Armenians,2023,2023,120000,120000,120000,1,,20,,,,,
44,Bahamas,332,Haiti,Haitians,1963,1963,2899,2899,2899,1,,25,expulsion of Haitian refugees,,,,
44,Bahamas,332,Haiti,Haitians,1967,1967,2589,2589,2589,1,,25,expulsion of Haitian refugees,,,,
44,Bahamas,332,Haiti,Haitians,1987,1987,2000,2000,2000,1,,25,expulsion of Haitian refugees,,,,
44,Bahamas,332,Haiti,Haitians,1992,1994,5000,5000,5000,1,,26,expulsion of Haitian refugees,,,,
44,Bahamas,332,Haiti,Haitians,2005,2005,3200,3200,3200,1,,198,deportation of illegal migrants from Haiti,,,,
44,Bahamas,332,Haiti,Haitians,2019,2019,340,340,340,1,,24,expulsion of Haitian refugees,,,,
44,Bahamas,332,Haiti,Haitians,2022,2022,4748,4748,4748,2,,199,deportation of illegal migrants from Haiti,,,,
44,Bahamas,332,Haiti,Haitians,2022,2022,480,480,480,2,,201,deportation of illegal migrants from Haiti,,,,
44,Bahamas,332,Haiti,Haitians,2023,2023,1024,1024,1024,2,,199,deportation of illegal migrants from Haiti,,,,
44,Bahamas,332,Haiti,Haitians,2023,2023,1725,1725,1725,2,,201,deportation of illegal migrants from Haiti,,,,
44,Bahamas,332,Haiti,Haitians,2024,2024,1140,1140,1140,1,,27,expulsion of Haitian refugees,,,,
48,Bahrain,,various,various,2013,2013,5232,5232,5232,1,,37,,,,,
48,Bahrain,50,Bangladesh,Bangladeshi,2020,2020,300,300,300,2,,36,deportation of criminal migrant workers,,,,
48,Bahrain,,various,various,2022,2022,5200,5200,5200,2,,35,deportation of irregular migrant workers,,,,
48,Bahrain,,various,various,2022,2022,5300,5300,5300,2,,32,deportation of irregular migrant workers,,,,
48,Bahrain,,various,various,2024,2024,3100,3100,3100,2,,33,deportation of irregular migrant workers,,,,
48,Bahrain,,various,various,2024,2024,181,181,181,2,,30,deportation of irregular migrant workers,,,,
48,Bahrain,,various,various,2025,2025,87,87,87,2,,31,deportation of irregular migrant workers,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1971,1975,175000,175000,175000,1,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,356,India,Indians,1971,1971,10000000,10000000,10000000,3,,214,refuge and (forced) repatriation of Indians from Bangladesh after start of independence war,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1973,1993,178069,178069,178069,1,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1976,1982,19000,19000,19000,1,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,104,Myanmar,Rohingya,1978,1979,187000,188500,190000,1,,1,,FALSE,NA,,
50,Bangladesh,586,Pakistan,Pakistanis,1991,1996,325,325,325,1,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,104,Burma,Rohingya,1992,1997,230000,230000,230000,1,,1,,FALSE,NA,,
52,Barbados,328,Guyana,Guyanese,2009,2009,53,53,53,2,,197,deportation of illegal migrants,,,,
56,Belgium,180,DRC,Congolese (Kinshasa),2009,2017,715,715,715,2,,117,,,,,
56,Belgium,,various,various,2012,2012,80000,80000,80000,2,,213,deportation of migrants,,,,
64,Bhutan,524,Nepal,Lhotshampa,1988,1992,130000,130000,130000,1,,47,expulsion caused by fear of Sikkimization of Southern Bhutan,TRUE,75000,,
64,Bhutan,524,Nepal,Nepalis,1990,1992,106000,108000,110000,1,,1,,TRUE,75000,,
70,Bosnia,586,Pakistan,Pakistanis,2020,2020,3000,3000,3000,1,,50,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,1992,1992,17943,17943,17943,1,,58,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,1993,1993,8810,8810,8810,1,,58,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,1994,1994,14346,14346,14346,1,,58,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,1995,1995,16930,16930,16930,1,,58,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,1996,1996,16553,16553,16553,1,,58,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,1997,1997,8465,8465,8465,1,,58,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,1999,1999,12000,12000,12000,1,,58,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,2001,2001,25511,25511,25511,1,,58,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,2002,2002,26585,26585,26585,1,,58,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,2003,2003,26717,26717,26717,1,,54,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,2004,2004,8394,8394,8394,1,,52,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,2004,2004,30000,30000,30000,1,,57,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,2005,2005,130000,130000,130000,1,,55,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,2006,2006,56000,56000,56000,1,,56,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,2009,2009,8314,8314,8314,1,,53,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,2010,2010,2600,2600,2600,1,,53,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,2011,2011,2423,2423,2423,1,,53,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,2012,2012,17402,17402,17402,1,,53,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,2013,2013,22675,22675,22675,1,,53,,,,,
100,Bulgaria,792,Turkey,Turks,1950,1950,250000,250000,250000,1,,66,,,,,
100,Bulgaria,792,Turkey,Turks,1989,1989,350000,350000,350000,1,,68,,,,,
100,Bulgaria,792,Turkey,Turks,1989,1989,340000,340000,340000,1,,67,,,,,
100,Bulgaria,792,Turkey,Turks,1990,1990,30000,30000,30000,1,,68,,,,,
100,Bulgaria,792,Turkey,Turks,1991,1991,30000,30000,30000,1,,68,,,,,
100,Bulgaria,792,Turkey,Turks,1992,1992,30000,30000,30000,1,,68,,,,,
100,Bulgaria,792,Turkey,Turks,1993,1993,30000,30000,30000,1,,68,,,,,
100,Bulgaria,792,Turkey,Turks,1994,1994,30000,30000,30000,1,,68,,,,,
100,Bulgaria,792,Turkey,Turks,1995,1995,30000,30000,30000,1,,68,,,,,
100,Bulgaria,792,Turkey,Turks,1996,1996,30000,30000,30000,1,,68,,,,,
100,Bulgaria,792,Turkey,Turks,1997,1997,30000,30000,30000,1,,68,,,,,
104,Burma,356,India,Indians (Tamils),1962,1964,300000,300000,300000,1,,1,,FALSE,NA,,
108,Burundi,180,Zaire,Zaireans,1978,1978,40000,45000,50000,1,,1,,FALSE,NA,UNHCR lists 49740 in 1980,
108,Burundi,646,Rwanda,Rwandans,2005,2005,5000,5000,5000,1,,79,,,,,
108,Burundi,646,Rwanda,Rwandans,2009,2009,250,275,300,2,,80,,,,,
108,Burundi,646,Rwanda,Rwandans,2009,2009,776,776,776,1,,81,,,,,
108,Burundi,180,DRC,Congolese,2009,2009,159,159,159,2,,88,,,,,
108,Burundi,646,Rwanda,Rwandanese,2009,2009,4,4,4,2,,88,,,,,
108,Burundi,834,Tanzania,Tanzanians,2009,2009,1,1,1,2,,88,,,,,
132,Cabo Verde,,Gambia; Ghana; Guinea-Bissau; Guinea; Nigeria; Senegal,ECOWAS member states,2006,2008,2000,2000,2000,2,,69,,,,,
116,Cambodia,704,Vietnam,Vietnamese,1970,1970,200000,225000,250000,1,,1,,FALSE,NA,UNHCR lists 57000 in 1971,
116,Cambodia,704,Vietnam,Vietnamese,1975,1978,150000,175000,200000,1,,1,,TRUE,150000,,
116,Cambodia,156,China,Chinese,2000,2000,700,700,700,2,,94,,,,,
116,Cambodia,156,China,Chinese,2023,2023,1011,1011,1011,2,,92,,,,,
116,Cambodia,360,Indonesia,Indonesians,2023,2023,267,267,267,2,,92,,,,,
116,Cambodia,704,Vietnam,Vietnamese,2023,2023,507,507,507,2,,92,,,,,
116,Cameroon,566,Nigeria,Nigerians,2015,2015,100000,100000,100000,2,,96,,,,,
120,Cameroon,566,Nigeria,Nigerians,2015,2019,100000,104500,109000,1,,1,,TRUE,44321,,
116,Cameroon,566,Nigeria,Nigerians,2017,2017,4402,4402,4402,2,,96,,,,,
116,Cameroon,566,Nigeria,Nigerians,2017,2017,13000,13000,13000,3,,96,,,,,
120,Cameroon,140,Central African Republic,Central African Republicans,2019,2023,8123,8123,8123,3,,97,,TRUE,44321,,
120,Cameroon,140,Central African Republic,Central African Republicans,2024,2024,7000,7000,7000,3,,97,,TRUE,44321,,
,Cameroon; DRC; Republic of Congo,,Central African Republic,Central African Republicans,2017,2024,49000,49000,49000,3,,104,,,,,
,Cameroon; DRC; Republic of Congo,,Central African Republic,Central African Republicans,2024,2024,15200,15200,15200,3,,104,,,,,
124,Canada,170,Colombia,Colombians,2024,2024,12,12,12,2,,119,deportation of Colombians,,,,
136,Cayman Islands,192,Cuba,Cubans,2023,2023,87,87,87,2,,99/ 100 / 101,,,,,
136,Cayman Islands,192,Cuba,Cubans,2024,2024,9,9,9,2,,98,,,,,
140,Central African Republic,,Chad; Cameroon; DRF,Central African Republicans,2013,2015,50000,50000,50000,1,,102,,,,,
140,Central African Republic,180,DRC,Central African Republicans,2023,2023,60000,60000,60000,1,,103,,,,,
140,Central African Republic,,Cameroon; Chad; Republic of Congo,Central African Republicans,2023,2023,9000,9000,9000,1,,103,,,,,
148,Chad,204,Benin,Beninese,1979,1979,1000,1000,1000,1,,1,,FALSE,,,
148,Chad,566,Nigeria,Nigerians,2025,2025,3600,3600,3600,3,,105,,,,,
152,Chile,170,Colombia,Colombians,2024,2024,12,12,12,2,,119,deportation of Colombians,,,,
156,China,,various,Priests and clergymen,1949,1955,5000,5000,5000,2,,106,,,,,
156,China,704,Vietnam,Vietnamese,1975,1999,67000,67000,67000,3,,107,,,,,
156,China,,various,criminals,2023,2023,26000,26000,26000,2,,108,deportation of criminals,,,,
384,Cote d'Ivoire,,Togo; Benin,Togolese; Beninese,1958,1958,17000,17000,17000,1,,125,,,,,
384,Cote d'Ivoire,,Togo; Benin,Togolese; Beninese,1958,1958,1000,1500,2000,1,,1,,FALSE,,,
384,Cote d'Ivoire,204,Benin,Beninese,1964,1964,16000,16000,16000,1,,1,,FALSE,,,
384,Cote d'Ivoire,204,Benin,Togolese; Beninese,1967,1967,16000,16000,16000,1,,125,,,,,
384,Cote d'Ivoire,288,Ghana,Ghanaians,1985,1985,10000,10000,10000,1,,1,,FALSE,,,
384,Cote d'Ivoire,854,Burkina Faso,Burkinabe,1999,2007,500000,500000,500000,1,,72,,,,,
384,Cote d'Ivoire,854,Burkina Faso,Burkinabe,2002,2006,500000,750000,1000000,3,,72,,,,,
384,Cote d'Ivoire,,Liberia; Guinea; Mali,Burkinabe,2002,2002,200000,200000,200000,1,,128,migrants fleeing from civil war,,,,
384,Cote d'Ivoire,,Liberia; Guinea; Mali,Guineans,2002,2002,70000,70000,70000,1,,128,migrants fleeing from civil war,,,,
384,Cote d'Ivoire,,Liberia; Guinea; Mali,Malians,2002,2002,48000,48000,48000,1,,128,migrants fleeing from civil war,,,,
384,Cote d'Ivoire,,Liberia; Guinea; Mali,Liberians,2002,2002,44000,44000,44000,1,,128,migrants fleeing from civil war,,,,
384,Cote d'Ivoire,854,Burkina Faso,Burkinabe,2023,2023,164,164,164,2,,127,deportation of Burkinabe refugees,,,,
384,Cote d'Ivoire,854,Burkina Faso,Burkinabe,2024,2024,173,173,173,2,,71,,,,,
191,Croatia,688,Serbia,Serbs,1995,1995,180000,190000,200000,1,,1,,TRUE,160625,,
191,Croatia,70,Bosnia,Bosnians,2004,2004,411,411,411,1,,51,deportation of Bosnian refugees,,,,
192,Cuba,332,Haiti,Haitians,2022,2022,88,88,88,2,,201,deportation of illegal migrants from Haiti,,,,
192,Cuba,332,Haiti,Haitians,2023,2023,751,751,751,2,,201,deportation of illegal migrants from Haiti,,,,
531,Curacao,862,Venezuela,Venezuelans,2017,2017,1203,1203,1203,1,,23,deportaion of Venezuelean migrants,,,,
531,Curacao,,various,various,2017,2017,529,529,529,1,,130,deportation of illegal migrants,,,,
531,Curacao,862,Venezuela,Venezuelans,2018,2018,386,386,386,1,,130,deportaion of Venezuelean migrants,,,,
531,Curacao,,various,various,2018,2018,89,89,89,1,,130,deportation of illegal migrants,,,,
208,Denmark,70,Bosnia,Bosnians,2004,2004,165,165,165,2,,51,deportation of Bosnian refugees,,,,
262,Djibouti,231,Ethiopia,Ethiopians,1994,1995,31617,31617,31617,3,,169,repatriation after fall of the Derg Regime in 1991,,,,
262,Djibouti,231,Ethiopia,Oromos,2000,2000,5000,5000,5000,2,,134,deportation of Oromo minority,,,,
262,Djibouti,,Ethiopia; Somalia,Ethiopians; Somalis,2004,2004,80000,80000,80000,3,,135,(forced) repatriation of Ethiopian and Somali Refugees,,,,
262,Djibouti,706,Somalia,Somalis,2009,2009,40,40,40,1,FALSE,133,expulsion of Somali asylum seekers,,,,
214,Dominican Republic,332,Haiti,Haitians; Dominico-Haitians,1991,1991,35000,47500,60000,1,,1,expulsion and deportation of Haitian migrants and minorities,FALSE,,,
214,Dominican Republic,332,Haiti,Haitians; Dominico-Haitians,1991,1991,71000,71000,71000,1,,138,expulsion and deportation of Haitian migrants and minorities,,,,
214,Dominican Republic,332,Haiti,Haitians; Dominico-Haitians,1996,1997,30000,30000,30000,1,,1,expulsion and deportation of Haitian migrants and minorities,FALSE,,,
214,Dominican Republic,332,Haiti,Haitians; Dominico-Haitians,1997,1997,25000,25000,25000,1,,136,expulsion and deportation of Haitian migrants and minorities,,,,
214,Dominican Republic,332,Haiti,Haitians; Dominico-Haitians,1999,2000,10000,15000,20000,1,,1,expulsion and deportation of Haitian migrants and minorities,FALSE,,,
214,Dominican Republic,332,Haiti,Haitians; Dominico-Haitians,2015,2015,108000,108000,108000,1,,140,expulsion and deportation of Haitian migrants and minorities,,,,
214,Dominican Republic,332,Haiti,Haitians; Dominico-Haitians,2015,2015,111389,111389,111389,1,,141,expulsion and deportation of Haitian migrants and minorities,,,,
214,Dominican Republic,332,Haiti,Haitians; Dominico-Haitians,2015,2016,40000,40000,40000,1,,137,expulsion and deportation of Haitian migrants and minorities,,,,
214,Dominican Republic,332,Haiti,Haitians; Dominico-Haitians,2015,2019,250000,280000,310000,1,,1,expulsion and deportation of Haitian migrants and minorities,FALSE,,,
214,Dominican Republic,332,Haiti,Haitians,2015,2016,40000,40000,40000,2,,198,deportation of illegal migrants from Haiti,,,,
214,Dominican Republic,332,Haiti,Haitians,2023,2023,215000,215000,215000,1,,28,expulsion and deportation of Haitian migrants and minorities,FALSE,,,
214,Dominican Republic,332,Haiti,Haitians,2023,2023,104000,104000,104000,2,,201,deportation of illegal migrants from Haiti,,,,
214,Dominican Republic,332,Haiti,Haitians,2024,2024,200000,200000,200000,1,,29,expulsion and deportation of Haitian migrants and minorities,FALSE,,,
214,Dominican Republic,332,Haiti,Haitians,2024,2024,193508,193508,193508,1,,27,expulsion and deportation of Haitian migrants and minorities,FALSE,,,
214,Dominican Republic,332,Haiti,Haitians,2025,2025,322,322,322,2,,139,deportation of irregular Haitian refugees,,,,
180,DRC,,Congo; Burundi; Mali,Congolese (Brazzaville); Burundians; Malians,1964,1964,1000,2000,3000,1,,1,expulsion of migrant workers and minority ethnic groups,TRUE,Burundi - 20000,Congo - false; Burundi - true ;Mali - false,
180,DRC,,Rwanda; Burundi,Rwandans; Burundians,1995,1995,14000,14500,15000,1,,1,expulsion of migrant workers and minority ethnic groups,TRUE,Rwanda - 4559,Burundi - false; Rwanda - true,
180,DRC,646,Rwanda,Rwandans,1997,1997,4000,4000,4000,1,,112,expulsion of Rwandian refugees from Goma,,,,
180,DRC,108,Burundi,Burundians,2009,2009,200,200,200,1,,111,expulsion of Burundians,,,,
180,DRC,24,Angola,Angolans,2009,2009,30000,35000,40000,1,,1,expulsion of migrant workers and minority ethnic groups,TRUE,2201,,
218,Ecuador,170,Colombia,Colombians,2024,2024,5,5,5,2,FALSE,119,deportation of Colombians,,,,
218,Ecuador,170,Colombia,Colombians,2024,2024,1500,1500,1500,2,,120,deportation of convited criminals from Colombia,,,,
818,Egypt,,Italy,Italians,1945,1960,40000,40000,40000,3,,147,repatriation of Italians,,,,
818,Egypt,,Greece,Greeks,1956,1967,83000,83000,83000,3,,146,repatriation of Greeks after Suez Crisis,,,,
818,Egypt,,United Kingdom,British,1956,1956,3000,3000,3000,1,,145,expulsion of French and British after Suez Crisis,,,,
818,Egypt,,Cyprus,British,1956,1956,4500,4500,4500,1,,145,expulsion of French and British after Suez Crisis,,,,
818,Egypt,,Malta,Maltese,1956,1956,5000,5000,5000,1,,145,expulsion of French and British after Suez Crisis,,,,
818,Egypt,,France; United Kingdom,French; British,1956,1956,13000,13000,13000,1,,144,expulsion of French and British after Suez Crisis,,,,
818,Egypt,,Britain; France; Israel; etc,Jews,1956,1957,20200,22600,25000,1,,1,expulsion of Jewish Minority,FALSE,,,
818,Egypt,,Britain; France; Israel; etc,Jews,1958,1970,7000,7000,7000,1,,143,expulsion by discrimination of Jewish minority,,,,
818,Egypt,232,Eritrea,Eritreans,2008,2008,1200,1200,1200,2,,158,deportation of Eritreans from Egypt,,,,
818,Egypt,232,Eritrea,Eritreans,2021,2021,39,39,39,2,,157,deportation of Eritreans from Egypt,,,,
818,Egypt,,Sudan,Sudanese,2024,2024,18000,18000,18000,2,,149,deportation of Sudanese migrants,,,,
231,Ehiopia,262,Djibouti,Djiboutis,1983,1983,1650,1650,1650,3,,132,(forced) repatriation of Djiboutian refugees,,,,
226,Equatorial Guinea,724,Spain,Spanierds,1968,1969,7500,7500,7500,3,,152,evacuation of Spanish after declaration of independence,,,,
226,Equatorial Guinea,566,Nigeria,Nigerians,1976,1976,40000,40000,40000,3,,153,evacuation of Nigerian migrant workers after arbitrary detentions and killings,,,,
232,Eritrea,231,Ethiopia,Ethiopians,1998,2000,49000,59500,70000,1,,1,,TRUE,3276,,
232,Eritrea,231,Ethiopia,Ethiopians,1998,1999,21000,21000,21000,3,,154,repatriation of Ehtiopians from Eritrea,,,,
748,Eswatini,508,Mozambique,Mozambicans,1993,1994,16666,16666,16666,3,,161,repatriation of Mozambicans,,,,
231,Ethiopia,,various,Arabs,1970,1980,30000,30000,30000,2,,165,deportation of arabs after terrorist attack in Europe,,,,
231,Ethiopia,232,Eritrea,Eritreans,1998,1999,54000,64500,75000,1,,1,,FALSE,,,
231,Ethiopia,232,Eritrea,Eritreans,1998,1999,75000,75000,75000,1,,17,,FALSE,,,
231,Ethiopia,232,Eritrea,Ethiopians of Eritrean Origin,1998,1998,75000,75000,75000,1,,154,expulsion of Eritreans and Ethiopians with Eritrean origin,,,,
231,Ethiopia,232,Eritrea,Ethiopians of Eritrean Origin,1998,1998,45000,45000,45000,2,,155,expulsion of Eritreans and Ethiopians with Eritrean origin,,,,
231,Ethiopia,232,Eritrea,Ethiopians of Eritrean Origin,1998,1999,60000,60000,60000,2,,156,deportation of Eritreans and Ethiopians with Eritrean origin,,,,
242,Fiji,,various,Indians,1987,1987,100000,100000,100000,1,,211,expulsion of Indo-Fijians from Fiji nationalist Government,,,,
242,Fiji,156,China,Chinese,2017,2017,77,77,77,2,,170,deportation of Chinese Nationals accused of commiting cybercrime from Fiji,,,,
250,France,,various,various,2003,2003,32010,32010,32010,2,,172,deportation of migrants,,,,
250,France,,various,various,2003,2003,27908,27908,27908,2,,172,deportation of migrants,,,,
250,France,180,DRC,Congolese (Kinshasa),2009,2017,650,650,650,2,,117,,,,,
250,France,,Romania; Bulgaria,Roma,2009,2011,23014,25984.5,28955,1,,1,,FALSE,,,
250,France,,various,various,2012,2012,37000,37000,37000,2,,213,deportation of migrants,,,,
250,France,,various,various,2013,2013,33036,33036,33036,2,,213,deportation of migrants,,,,
250,France,,various,various,2023,2023,17323,17323,17323,2,,131,deportation of irregular migrants ,,,,
250,France,,various,various,2024,2024,22000,22000,22000,2,,131,deportation of irregular migrants ,,,,
254,French Guiana,,various,various,2017,2017,5300,5300,5300,1,,171,expulsion of migrants,,,,
266,Gabon,178,Congo,Congolese (Brazzaville),1962,1962,2700,2700,2700,1,,1,,FALSE,,,
266,Gabon,204,Benin,Beninese,1978,1978,6000,9000,12000,1,,1,,FALSE,,,
266,Gabon,120,Cameroon,Cameroonians,1981,1981,5000,7500,10000,1,,1,,FALSE,,,
266,Gabon,,various,foreigners,1995,1995,55000,55000,55000,1,,17,,FALSE,,,
268,Georgia,,various,various,2024,2024,133,133,133,2,,177,deportaion of illegal immigrants,,,,
276,Germany,70,Bosnia,Bosnians,2004,2004,465,465,465,2,,51,deportation of Bosnian refugees,,,,
276,Germany,180,DRC,Congolese (Kinshasa),2009,2017,265,265,265,2,,117,,,,,
276,Germany,270,Gambia,Gambians,2023,2023,400,400,400,3,,174,repatriation of Gambians from Germany,,,,
276,Germany,170,Colombia,Colombians,2024,2024,12,12,12,2,,119,deportation of Colombians,,,,
288,Ghana,,Nigeria; Togo; Burkina Faso; Niger,Nigerians; Togolese; Burkinabe; Nigeriens,1969,1970,200000,600000,1000000,1,,1,,FALSE,,,
288,Ghana,566,Nigeria,Nigerians,1969,1969,500000,500000,500000,1,,45,,FALSE,,,
288,Ghana,566,Nigeria,Nigerians,1969,1969,500000,500000,500000,1,,178,expulsion of Nigerien migrant,,,,
288,Ghana,,Togo; Mali; Burkina Faso; Nigeria,Togolese; Malians; Burkinabe; Nigerians,1969,1969,200000,200000,200000,1,,179,expulsion of migrant workers and minority ethnic groups,,,,
