origin_id,origin_name,target_id,target_name,expelled_group,year,mean_estimate,event_type,is_annual_estimate,data_source_id,description,in_unhcr,unhcr_numer,comment,difference_unhcr_mean_estimate
12,Algeria,504,Morocco,Moroccans,1978,20000,1,,307,,,,,
12,Algeria,504,Morocco,Moroccans,1979,20000,1,,307,,,,,
12,Algeria,250,France,French; Jewish,1962,400000,3,,305,repatriation of Europeans (mainly french) after independence,,,,
12,Algeria,250,France,French; Jewish,1963,400000,3,,305,repatriation of Europeans (mainly french) after independence,,,,
12,Algeria,504,Morocco,Moroccans,1975,350000,1,,14,expulsion of migrant workers,FALSE,NA,,
12,Algeria,504,Morocco,Moroccans,1975,500000,1,,306,,,,test,
12,Algeria,504,Morocco,Moroccans,1975,350000,1,,309,,,,,
12,Algeria,504,Morocco,Moroccans,1975,15000,1,,1,expulsion of migrant workers,FALSE,NA,,
12,Algeria,504,Morocco,Moroccans,1976,15000,1,,1,expulsion of migrant workers,FALSE,NA,,
12,Algeria,504,Morocco,Moroccans,1976,40000,1,,308,,,,,
12,Algeria,562,Niger,Nigeriens,2014,1345,1,,6,expulsion of Nigerien migrant,,,,
12,Algeria,562,Niger,Nigeriens,2015,5986,1,,6,expulsion of Nigerien migrant,,,,
12,Algeria,,various,West Africans,2015,6750,1,,195,expulsion after racial profiling ,,,,
12,Algeria,,various,West Africans,2016,6750,1,,195,expulsion after racial profiling ,,,,
12,Algeria,,various,West Africans,2017,6750,1,,195,expulsion after racial profiling ,,,,
12,Algeria,,various,West Africans,2018,6750,1,,195,expulsion after racial profiling ,,,,
12,Algeria,562,Niger,Nigeriens,2016,9290,1,,6,expulsion of Nigerien migrant,,,,
12,Algeria,,Niger; Mali,sub-Saharan Africans,2016,13400,1,,1,expulsion of (illegal) sub-saharan refugees,FALSE,NA,,
12,Algeria,,Niger; Mali,sub-Saharan Africans,2017,13400,1,,1,expulsion of (illegal) sub-saharan refugees,FALSE,NA,,
12,Algeria,,Niger; Mali,sub-Saharan Africans,2018,13400,1,,1,expulsion of (illegal) sub-saharan refugees,FALSE,NA,,
12,Algeria,,Niger; Mali,sub-Saharan Africans,2019,13400,1,,1,expulsion of (illegal) sub-saharan refugees,FALSE,NA,,
12,Algeria,,Niger; Mali,sub-Saharan Africans,2020,13400,1,,1,expulsion of (illegal) sub-saharan refugees,FALSE,NA,,
12,Algeria,562,Niger,Nigeriens,2017,6679,1,,6,expulsion of Nigerien migrant,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2017,1817,1,,6,expulsion of sub-Saharan refugees,,,,
12,Algeria,466,Mali,sub-Saharan Africans,2017,100,1,,6,expulsion of sub-Saharan refugees,,,,
12,Algeria,466,Mali,sub-Saharan Africans,2017,1000,1,,6,expulsion of sub-Saharan refugees,,,,
12,Algeria,,various,West Africans,2017,2000,1,,196,expulsion after racial profiling ,,,,
12,Algeria,562,Niger,Nigeriens,2018,12913,1,,6,expulsion of Nigerien migrant,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2018,649,1,,6,expulsion of sub-Saharan refugees,,,,
12,Algeria,466,Mali,sub-Saharan Africans,2018,3000,1,,6,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2019,25000,1,,7,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2019,29888,1,,11,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2020,16000,1,,8,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2020,23175,1,,11,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2021,27208,1,,12,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2022,19069,1,,12,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2022,36083,1,,13,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2023,26031,1,,9,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2024,30000,1,,9,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,sub-Saharan Africans,2024,31404,1,,10,expulsion of sub-Saharan refugees,,,,
12,Algeria,562,Niger,West Africans,2025,1800,2,FALSE,337,,,,,
24,Angola,620,Portugal,Portugese,1975,130000,3,,2,post-independece repatriation of white Angolans,FALSE,NA,,
24,Angola,620,Portugal,Portugese,1976,130000,3,,2,post-independece repatriation of white Angolans,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2003,26667,1,,1,expulsion of Congolese refugees,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2003,100000,1,,1,expulsion of Congolese refugees,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2004,26667,1,,1,expulsion of Congolese refugees,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2004,100000,1,,1,expulsion of Congolese refugees,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2005,26667,1,,1,expulsion of Congolese refugees,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2005,100000,1,,1,expulsion of Congolese refugees,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2003,28000,1,,15,expulsion of Congolese refugees,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2004,28000,1,,15,expulsion of Congolese refugees,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2005,28000,1,,15,expulsion of Congolese refugees,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2006,28000,1,,15,expulsion of Congolese refugees,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2007,28000,1,,15,expulsion of Congolese refugees,FALSE,NA,,
24,Angola,324,Guinea,Guineans,2004,126247,1,,3,expulsion of Guineans residents,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2004,80000,1,,70,expulsion of Congolese refugees,,,,
24,Angola,,various,various,2004,126247,1,,3,expulsion of migrants and guest workers,,,,
24,Angola,180,DRC,Congolese (Kinshasa),2008,77000,1,,1,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2008,80000,1,,1,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2009,77000,1,,1,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2009,80000,1,,1,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2011,30295,1,,1,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2011,52500,1,,1,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2012,30295,1,,1,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2012,52500,1,,1,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2018,330000,1,,1,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2018,400000,1,,1,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2018,133333,1,,16,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2019,133333,1,,16,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2020,133333,1,,16,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2020,21000,1,,16,expulsion of Congolese refugees and migrant workers,FALSE,NA,,
24,Angola,180,DRC,Congolese (Kinshasa),2023,12000,1,,115,expulsion of Congolese refugees and migrant workers,,,,
24,Angola,180,DRC,Congolese,2024,300,2,,117,deportation of Congolese illegal migrants,,,,
32,Argentina,,various,criminals,2015,3000,2,,18,deportation of criminal migrants,,,,
32,Argentina,,various,criminals,2016,3000,2,,18,deportation of criminal migrants,,,,
32,Argentina,,various,criminals,2017,3000,2,,18,deportation of criminal migrants,,,,
32,Argentina,,various,criminals,2018,3000,2,,18,deportation of criminal migrants,,,,
51,Armenia,31,Azerbaijan,Azerbaijanis,1987,75000,1,,21,,,,,
51,Armenia,31,Azerbaijan,Azerbaijanis,1988,75000,1,,21,,,,,
51,Armenia,31,Azerbaijan,Azerbaijanis,1989,75000,1,,21,,,,,
51,Armenia,31,Azerbaijan,Azerbaijanis,1990,75000,1,,21,,,,,
51,Armenia,31,Azerbaijan,Azerbaijanis,1988,125000,1,,22,,,,,
51,Armenia,31,Azerbaijan,Azerbaijanis,1989,125000,1,,22,,,,,
51,Armenia,31,Azerbaijan,Azerbaijanis,1989,84860,1,,19,,,,,
533,Aruba,170,Colombia,Colombians,2024,5,2,,119,deportation of Colombians,,,,
36,Australia,184,Cook Islands,Cook Islands Nationals,2009,1,2,,124,deportation of illegal migrants from the Cook Islands,,,,
36,Australia,184,Cook Islands,Cook Islands Nationals,2010,1,2,,124,deportation of illegal migrants from the Cook Islands,,,,
36,Australia,184,Cook Islands,Cook Islands Nationals,2011,1,2,,124,deportation of illegal migrants from the Cook Islands,,,,
36,Australia,184,Cook Islands,Cook Islands Nationals,2012,1,2,,124,deportation of illegal migrants from the Cook Islands,,,,
36,Australia,184,Cook Islands,Cook Islands Nationals,2013,1,2,,124,deportation of illegal migrants from the Cook Islands,,,,
36,Australia,184,Cook Islands,Cook Islands Nationals,2014,1,2,,124,deportation of illegal migrants from the Cook Islands,,,,
36,Australia,184,Cook Islands,Cook Islands Nationals,2015,1,2,,124,deportation of illegal migrants from the Cook Islands,,,,
36,Australia,184,Cook Islands,Cook Islands Nationals,2016,1,2,,124,deportation of illegal migrants from the Cook Islands,,,,
36,Australia,184,Cook Islands,Cook Islands Nationals,2017,1,2,,124,deportation of illegal migrants from the Cook Islands,,,,
36,Australia,184,Cook Islands,Cook Islands Nationals,2018,1,2,,124,deportation of illegal migrants from the Cook Islands,,,,
36,Australia,184,Cook Islands,Cook Islands Nationals,2019,1,2,,124,deportation of illegal migrants from the Cook Islands,,,,
36,Australia,184,Cook Islands,Cook Islands Nationals,2020,1,2,,124,deportation of illegal migrants from the Cook Islands,,,,
36,Australia,776,Tonga,Tongans,2009,3,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2010,3,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2011,3,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2012,3,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2013,3,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2014,3,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2015,3,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2016,3,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2017,3,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2018,3,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2019,3,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2020,3,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2009,1,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2010,1,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2011,1,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2012,1,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2013,1,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2014,1,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2015,1,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2016,1,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2017,1,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2018,1,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2019,1,2,FALSE,124,deportation of criminal Tongans,,,,
36,Australia,776,Tonga,Tongans,2020,1,2,FALSE,124,deportation of criminal Tongans,,,,
,Australia,,Tonga,Tongans,2009,3,2,,442,deportation of Tongans from the US,,,,
,Australia,,Tonga,Tongans,2010,3,2,,442,deportation of Tongans from the US,,,,
,Australia,,Tonga,Tongans,2011,3,2,,442,deportation of Tongans from the US,,,,
,Australia,,Tonga,Tongans,2012,3,2,,442,deportation of Tongans from the US,,,,
,Australia,,Tonga,Tongans,2013,3,2,,442,deportation of Tongans from the US,,,,
,Australia,,Tonga,Tongans,2014,3,2,,442,deportation of Tongans from the US,,,,
,Australia,,Tonga,Tongans,2015,3,2,,442,deportation of Tongans from the US,,,,
,Australia,,Tonga,Tongans,2016,3,2,,442,deportation of Tongans from the US,,,,
,Australia,,Tonga,Tongans,2017,3,2,,442,deportation of Tongans from the US,,,,
,Australia,,Tonga,Tongans,2018,3,2,,442,deportation of Tongans from the US,,,,
,Australia,,Tonga,Tongans,2019,3,2,,442,deportation of Tongans from the US,,,,
,Australia,,Tonga,Tongans,2020,3,2,,442,deportation of Tongans from the US,,,,
,Australia,,Tonga,Tongans,2010,6,2,,441,deportation of Tongans from Australia,,,,
,Australia,,Tonga,Tongans,2011,6,2,,441,deportation of Tongans from Australia,,,,
,Australia,,Tonga,Tongans,2012,6,2,,441,deportation of Tongans from Australia,,,,
,Australia,,Tonga,Tongans,2013,6,2,,441,deportation of Tongans from Australia,,,,
,Australia,,Tonga,Tongans,2014,6,2,,441,deportation of Tongans from Australia,,,,
,Australia,,Tonga,Tongans,2015,6,2,,441,deportation of Tongans from Australia,,,,
,Australia,,Tonga,Tongans,2016,6,2,,441,deportation of Tongans from Australia,,,,
,Australia,,Tonga,Tongans,2017,6,2,,441,deportation of Tongans from Australia,,,,
,Australia,,Tonga,Tongans,2018,6,2,,441,deportation of Tongans from Australia,,,,
36,Australia,162,Christmas Islands,various,2021,103,2,,110,,,,,
31,Azerbaijan,51,Armenia,Armenians,2023,120000,1,,20,,,,,
44,Bahamas,332,Haiti,Haitians,1963,2899,1,,25,expulsion of Haitian refugees,,,,
44,Bahamas,332,Haiti,Haitians,1967,2589,1,,25,expulsion of Haitian refugees,,,,
44,Bahamas,332,Haiti,Haitians,1987,2000,1,,25,expulsion of Haitian refugees,,,,
44,Bahamas,332,Haiti,Haitians,1992,1667,1,,26,expulsion of Haitian refugees,,,,
44,Bahamas,332,Haiti,Haitians,1993,1667,1,,26,expulsion of Haitian refugees,,,,
44,Bahamas,332,Haiti,Haitians,1994,1667,1,,26,expulsion of Haitian refugees,,,,
44,Bahamas,332,Haiti,Haitians,2005,3200,1,,198,deportation of illegal migrants from Haiti,,,,
44,Bahamas,332,Haiti,Haitians,2019,340,1,,24,expulsion of Haitian refugees,,,,
44,Bahamas,332,Haiti,Haitians,2022,4748,2,,199,deportation of illegal migrants from Haiti,,,,
44,Bahamas,332,Haiti,Haitians,2022,480,2,,201,deportation of illegal migrants from Haiti,,,,
44,Bahamas,332,Haiti,Haitians,2023,1024,2,,199,deportation of illegal migrants from Haiti,,,,
44,Bahamas,332,Haiti,Haitians,2023,1725,2,,201,deportation of illegal migrants from Haiti,,,,
44,Bahamas,332,Haiti,Haitians,2024,1140,1,,27,expulsion of Haitian refugees,,,,
,Bahamas; Cuba; Turks and Caicos Islands,,Haiti,Haitians,2021,5500,2,,458,deportaiton of Haitians from Carribean neighbours,,,,
48,Bahrain,,various,various,2013,5232,1,,37,,,,,
48,Bahrain,50,Bangladesh,Bangladeshi,2020,300,2,,36,deportation of criminal migrant workers,,,,
48,Bahrain,,various,various,2022,5200,2,,35,deportation of irregular migrant workers,,,,
48,Bahrain,,various,various,2022,5300,2,,32,deportation of irregular migrant workers,,,,
48,Bahrain,,various,various,2024,3100,2,,33,deportation of irregular migrant workers,,,,
48,Bahrain,,various,various,2024,181,2,,30,deportation of irregular migrant workers,,,,
48,Bahrain,,various,various,2025,87,2,,31,deportation of irregular migrant workers,,,,
50,Bangladesh,356,India,Indians,1971,10000000,3,,214,refuge and (forced) repatriation of Indians from Bangladesh after start of independence war,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1971,35000,1,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1972,35000,1,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1973,35000,1,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1974,35000,1,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1975,35000,1,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1973,108744,3,,343,repatriation of Pakistanis from Bangladesh after Delhi Agreement,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1973,117727,3,,344,repatriation of Pakistanis from Bangladesh after Delhi Agreement,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1973,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1974,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1975,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1976,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1977,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1978,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1979,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1980,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1981,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1982,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1983,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1984,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1985,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1986,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1987,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1988,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1989,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1990,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1991,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1992,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1993,8479,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1976,2714,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1977,2714,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1978,2714,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1979,2714,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1980,2714,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1981,2714,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1982,2714,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,104,Myanmar,Rohingya,1978,93500,1,,1,,FALSE,NA,,
50,Bangladesh,104,Myanmar,Rohingya,1978,95000,1,,1,,FALSE,NA,,
50,Bangladesh,104,Myanmar,Rohingya,1979,93500,1,,1,,FALSE,NA,,
50,Bangladesh,104,Myanmar,Rohingya,1979,95000,1,,1,,FALSE,NA,,
50,Bangladesh,586,Pakistan,Pakistanis,1991,54,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1992,54,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1993,54,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1994,54,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1995,54,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,586,Pakistan,Pakistanis,1996,54,3,,43,repatriation of Urdu-speaking Muhajirs from present-day India,,,,
50,Bangladesh,104,Burma,Rohingya,1992,38333,1,,1,,FALSE,NA,,
50,Bangladesh,104,Burma,Rohingya,1993,38333,1,,1,,FALSE,NA,,
50,Bangladesh,104,Burma,Rohingya,1994,38333,1,,1,,FALSE,NA,,
50,Bangladesh,104,Burma,Rohingya,1995,38333,1,,1,,FALSE,NA,,
50,Bangladesh,104,Burma,Rohingya,1996,38333,1,,1,,FALSE,NA,,
50,Bangladesh,104,Burma,Rohingya,1997,38333,1,,1,,FALSE,NA,,
,Bangladesh,,Myanmar,Myanmar nationals,1996,23000,3,,389,repatriation of Burmese from Bangladesh,,,,
52,Barbados,328,Guyana,Guyanese,2009,53,2,,197,deportation of illegal migrants,,,,
56,Belgium,180,DRC,Congolese (Kinshasa),2009,79,2,,117,,,,,
56,Belgium,180,DRC,Congolese (Kinshasa),2010,79,2,,117,,,,,
56,Belgium,180,DRC,Congolese (Kinshasa),2011,79,2,,117,,,,,
56,Belgium,180,DRC,Congolese (Kinshasa),2012,79,2,,117,,,,,
56,Belgium,180,DRC,Congolese (Kinshasa),2013,79,2,,117,,,,,
56,Belgium,180,DRC,Congolese (Kinshasa),2014,79,2,,117,,,,,
56,Belgium,180,DRC,Congolese (Kinshasa),2015,79,2,,117,,,,,
56,Belgium,180,DRC,Congolese (Kinshasa),2016,79,2,,117,,,,,
56,Belgium,180,DRC,Congolese (Kinshasa),2017,79,2,,117,,,,,
56,Belgium,,various,various,2012,80000,2,,213,deportation of migrants,,,,
64,Bhutan,524,Nepal,Lhotshampa,1988,26000,1,,47,expulsion caused by fear of Sikkimization of Southern Bhutan,TRUE,75000,,
64,Bhutan,524,Nepal,Lhotshampa,1989,26000,1,,47,expulsion caused by fear of Sikkimization of Southern Bhutan,TRUE,75000,,
64,Bhutan,524,Nepal,Lhotshampa,1990,26000,1,,47,expulsion caused by fear of Sikkimization of Southern Bhutan,TRUE,75000,,
64,Bhutan,524,Nepal,Lhotshampa,1991,26000,1,,47,expulsion caused by fear of Sikkimization of Southern Bhutan,TRUE,75000,,
64,Bhutan,524,Nepal,Lhotshampa,1992,26000,1,,47,expulsion caused by fear of Sikkimization of Southern Bhutan,TRUE,75000,,
64,Bhutan,524,Nepal,Nepalis,1990,35333,1,,1,,TRUE,75000,,
64,Bhutan,524,Nepal,Nepalis,1990,36667,1,,1,,TRUE,75000,,
64,Bhutan,524,Nepal,Nepalis,1991,35333,1,,1,,TRUE,75000,,
64,Bhutan,524,Nepal,Nepalis,1991,36667,1,,1,,TRUE,75000,,
64,Bhutan,524,Nepal,Nepalis,1992,35333,1,,1,,TRUE,75000,,
64,Bhutan,524,Nepal,Nepalis,1992,36667,1,,1,,TRUE,75000,,
70,Bosnia,586,Pakistan,Pakistanis,2020,3000,1,,50,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,1992,17943,1,,58,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,1993,8810,1,,58,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,1994,14346,1,,58,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,1995,16930,1,,58,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,1996,16553,1,,58,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,1997,8465,1,,58,,,,,
72,Botswana,716,Zimbabwe,Zimbabweans,1999,12000,1,,58,,,,,
